dep_airport,arr_airport,dep_date_time,fuel_gallons,tail_number
PLS,CMA,4/7/24,2800,N1980K
CMA,TEB,4/25/24,3200,N1980K
TEB,IAD,4/25/24,520,N1980K
IAD,CMA,4/26/24,2100,N1980K
CMA,TEB,5/4/24,2300,N1980K
TEB,CMA,5/5/24,2400,N1980K
CMA,LAX,5/6/24,440,N1980K
LAX,EWR,5/6/24,3300,N1980K
HAM,EWR,5/8/24,3600,N1980K
EWR,CMA,5/9/24,3000,N1980K
CMA,TEB,5/13/24,3400,N1980K
TEB,CMA,5/15/24,2400,N1980K
CMA,TEB,5/25/24,3200,N1980K
TEB,TRM,5/26/24,2600,N1980K
TRM,VNY,5/27/24,710,N1980K
GSO,EWR,6/10/23,8500,N1DC
SNN,SNN,6/10/23,41900,N1DC
EWR,MIA,6/12/23,15500,N1DC
MIA,EWR,6/13/23,13600,N1DC
EWR,PBI,6/14/23,13800,N1DC
PBI,EWR,6/23/23,11300,N1DC
EWR,DCA,6/24/23,7300,N1DC
DTW,EWR,6/25/23,10900,N1DC
EWR,BOS,6/27/23,3700,N1DC
EWR,TPA,6/28/23,11900,N1DC
FRA,MLI,6/29/23,56600,N1DC
BUR,ILG,6/30/23,25600,N1DC
ILG,GSP,7/1/23,8200,N1DC
EWR,OMA,7/7/23,15400,N1DC
OMA,LAS,7/7/23,12900,N1DC
LAS,LAX,7/8/23,4400,N1DC
LAX,EWR,7/9/23,23900,N1DC
EWR,PBI,7/10/23,11600,N1DC
PBI,EWR,7/14/23,13500,N1DC
EWR,PBI,7/15/23,13000,N1DC
PBI,EWR,7/16/23,13000,N1DC
AVL,EWR,7/21/23,8700,N1DC
EWR,AVL,7/21/23,9800,N1DC
EWR,MSY,7/25/23,16700,N1DC
MSY,EWR,7/25/23,14900,N1DC
PBI,EWR,7/25/23,12500,N1DC
DSM,EWR,7/28/23,14500,N1DC
EWR,DSM,7/28/23,13700,N1DC
PBI,LDJ,8/5/23,13000,N1DC
BOS,EWR,8/8/23,4000,N1DC
EWR,PBI,8/13/23,12900,N1DC
PBI,EWR,8/16/23,12400,N1DC
BNA,EWR,8/17/23,9700,N1DC
EWR,BNA,8/17/23,9500,N1DC
EWR,PBI,8/20/23,12700,N1DC
PBI,EWR,8/23/23,11000,N1DC
EWR,PBI,8/25/23,14500,N1DC
PBI,PHL,9/14/23,10100,N1DC
PHL,IAD,9/14/23,3300,N1DC
IAD,EWR,9/16/23,3600,N1DC
EWR,PBI,9/17/23,13600,N1DC
CHS,PBI,9/25/23,9700,N1DC
PBI,CHS,9/25/23,7500,N1DC
PBI,DTW,9/27/23,14800,N1DC
DTW,PBI,9/28/23,14900,N1DC
PBI,LAX,9/30/23,28700,N1DC
LAX,DSM,10/1/23,18700,N1DC
DAB,PBI,10/15/23,8300,N1DC
PBI,DSM,10/16/23,15000,N1DC
DSM,LGA,10/17/23,12100,N1DC
LGA,PBI,10/18/23,12700,N1DC
MHT,LGA,10/23/23,6600,N1DC
PBI,MHT,10/23/23,14300,N1DC
LGA,PBI,10/27/23,14400,N1DC
PBI,LAS,10/28/23,10300,N1DC
LAS,SUX,10/29/23,5800,N1DC
SUX,PBI,10/30/23,1900,N1DC
DAL,HOU,10/31/23,5800,N1DC
PBI,DAL,10/31/23,14000,N1DC
HOU,PBI,11/2/23,11300,N1DC
MCO,PBI,11/4/23,5900,N1DC
PBI,MCO,11/4/23,5300,N1DC
PBI,TPA,11/6/23,6600,N1DC
TPA,PBI,12/17/23,4200,N1DC
PBI,DSM,1/5/24,14800,N1DC
DSM,PBI,1/7/24,14400,N1DC
PBI,LGA,1/16/24,14200,N1DC
PBI,GKT,3/16/24,7800,N1DC
GKT,DAB,3/25/24,7000,N1DC
DAB,LDJ,3/26/24,9700,N1DC
LDJ,LLY,3/26/24,4400,N1DC
BWC,PSP,3/28/24,700,N1DC
LLY,OCE,3/28/24,8800,N1DC
SBY,MGY,4/2/24,8600,N1DC
ATL,ORL,4/10/24,6700,N1DC
LOU,ATL,4/10/24,6800,N1DC
ORL,PHK,4/11/24,67500,N1DC
BWI,TEB,4/13/24,370,N1DC
PHL,ABE,4/13/24,8100,N1DC
ABE,LGA,4/14/24,54600,N1DC
LGA,CLT,4/20/24,8900,N1DC
CLT,LGA,4/21/24,12100,N1DC
ISO,PBI,4/26/24,7500,N1DC
LGA,ISO,4/26/24,6700,N1DC
PBI,LGA,4/29/24,12300,N1DC
LGA,MKE,5/1/24,9000,N1DC
MKE,MBS,5/1/24,4500,N1DC
MBS,LGA,5/2/24,12400,N1DC
LGA,PBI,5/3/24,11800,N1DC
PBI,FLL,5/5/24,4400,N1DC
FLL,LGA,5/6/24,13100,N1DC
LGA,PBI,5/8/24,15000,N1DC
PBI,LGA,5/9/24,13900,N1DC
LGA,ACY,5/11/24,6300,N1DC
ACY,PBI,5/12/24,14800,N1DC
PBI,LGA,5/20/24,16600,N1DC
HOU,DAL,5/22/24,6300,N1DC
LGA,HOU,5/22/24,16900,N1DC
DAL,LGA,5/23/24,24100,N1DC
LGA,PBI,5/23/24,13200,N1DC
SBA,OGG,6/10/23,500,N1KE
OGG,SBA,7/12/23,500,N1KE
HLA,CPT,7/22/23,500,N1KE
VVZ,VVZ,7/23/23,3300,N1KE
MXP,QLT,7/27/23,380,N1KE
NOC,SNN,7/29/23,170,N1KE
BED,PHX,9/15/23,500,N1KE
PHX,OMA,9/24/23,170,N1KE
VBG,VNY,9/29/23,290,N1KE
VNY,SBA,10/21/23,1500,N1KE
OGG,SBA,12/16/23,2500,N1KE
TEB,VBG,12/16/23,2400,N1KE
VBG,OGG,12/17/23,2100,N1KE
OGG,SBA,12/19/23,2500,N1KE
PHX,SBA,12/19/23,580,N1KE
SBA,PHX,12/20/23,440,N1KE
TEX,SZN,1/2/24,770,N1KE
SZN,OGG,1/3/24,2900,N1KE
OGG,SZN,1/4/24,2500,N1KE
BNA,CMH,7/2/23,280,N221DG
TEB,TTN,7/3/23,170,N221DG
BNA,CMA,7/13/23,1000,N221DG
CMA,BNA,7/16/23,1100,N221DG
BNA,DSM,7/22/23,290,N221DG
BNA,MKE,7/25/23,380,N221DG
MKE,BNA,7/26/23,500,N221DG
BNA,LNK,7/30/23,480,N221DG
LNK,BNA,8/1/23,430,N221DG
TLH,LNK,8/1/23,730,N221DG
BNA,SJU,8/14/23,950,N221DG
SJU,BNA,8/14/23,910,N221DG
BNA,EYW,9/1/23,500,N221DG
EYW,BNA,9/4/23,450,N221DG
BNA,BTV,9/16/23,580,N221DG
BTV,BOS,9/17/23,170,N221DG
BNA,KEF,9/22/23,1700,N221DG
BNA,BOS,9/23/23,610,N221DG
CLT,ATL,9/23/23,3400,N221DG
CPX,HOU,9/23/23,1300,N221DG
DET,BNA,9/23/23,420,N221DG
VCE,MXP,9/27/23,180,N221DG
MXP,QLT,9/30/23,880,N221DG
OXF,KEF,10/1/23,790,N221DG
KEF,KEF,10/2/23,1700,N221DG
BNA,CPX,10/22/23,1100,N221DG
CPX,ORD,10/25/23,1300,N221DG
ORD,BNA,10/27/23,380,N221DG
BNA,TYS,11/2/23,400,N221DG
TYS,BNA,11/16/23,320,N221DG
BNA,EYW,11/17/23,520,N221DG
EYW,BNA,11/20/23,480,N221DG
BNA,TYS,11/23/23,460,N221DG
TYS,BNA,11/24/23,280,N221DG
BNA,CMA,11/26/23,1000,N221DG
CMA,BNA,11/29/23,1300,N221DG
BNA,CPX,12/7/23,960,N221DG
CPX,BNA,12/11/23,1100,N221DG
OGG,BNA,12/18/23,2400,N221DG
BNA,TYS,12/20/23,190,N221DG
TYS,BNA,12/20/23,170,N221DG
BNA,TYS,12/22/23,160,N221DG
TYS,BNA,12/22/23,170,N221DG
BNA,EYW,12/29/23,510,N221DG
EYW,BNA,12/29/23,570,N221DG
TRM,BFI,1/4/24,880,N221DG
CMA,BNA,1/7/24,1200,N221DG
VNY,PHX,2/8/24,490,N221DG
GCK,BNA,2/14/24,600,N221DG
BNA,GUS,2/24/24,240,N221DG
GUS,JWN,2/25/24,370,N221DG
JWN,SHD,3/5/24,340,N221DG
SHD,CKB,3/5/24,410,N221DG
CKB,APF,3/11/24,540,N221DG
APF,WRB,3/12/24,360,N221DG
WRB,RCR,3/16/24,580,N221DG
BOW,CTY,3/17/24,430,N221DG
OKK,SBN,3/17/24,420,N221DG
SBN,MQY,3/31/24,290,N221DG
MQY,SDF,4/3/24,280,N221DG
SDF,BUR,4/10/24,1100,N221DG
BUR,BNA,4/12/24,1000,N221DG
BNA,TPA,4/16/24,350,N221DG
BNA,TPA,4/17/24,330,N221DG
TPA,BNA,4/17/24,300,N221DG
TPA,FXE,4/19/24,330,N221DG
BNA,RKH,4/26/24,370,N221DG
RKH,LSV,4/30/24,1100,N221DG
LSV,BNA,5/1/24,840,N221DG
BNA,TYS,5/2/24,240,N221DG
TYS,BNA,5/2/24,280,N221DG
BNA,MDW,5/3/24,300,N221DG
MDW,STP,5/3/24,360,N221DG
STP,BNA,5/5/24,720,N221DG
BNA,DWH,5/9/24,410,N221DG
ADS,GKY,5/10/24,260,N221DG
DWH,ADS,5/10/24,260,N221DG
GKY,BNA,5/12/24,510,N221DG
BNA,FLL,5/15/24,550,N221DG
FLL,BNA,5/16/24,480,N221DG
FLL,RYY,5/17/24,400,N221DG
RYY,MEM,5/19/24,320,N221DG
MEM,BWI,5/24/24,650,N221DG
BWI,MEM,5/26/24,750,N221DG
GOA,QLT,7/20/23,4300,N232G
OAR,VNY,8/29/23,330,N232G
SFO,VNY,9/7/23,360,N232G
VNY,SFO,9/7/23,340,N232G
VNY,ITM,9/17/23,4100,N232G
ITM,OAR,9/29/23,4000,N232G
LAS,TEB,10/11/23,1500,N232G
TEB,VNY,10/13/23,1600,N232G
VNY,LAS,10/26/23,220,N232G
LAS,VNY,10/30/23,430,N232G
SFO,VNY,11/10/23,380,N232G
VNY,TEB,11/13/23,2200,N232G
TEB,BOS,11/15/23,520,N232G
IAD,DAL,11/16/23,1200,N232G
TEB,VNY,11/18/23,1700,N232G
VNY,TEB,12/4/23,1900,N232G
TEB,VNY,12/8/23,1900,N232G
VNY,BOS,12/12/23,2100,N232G
BOS,VNY,12/13/23,2100,N232G
VNY,ZLO,12/23/23,1100,N232G
ZLO,TOA,12/27/23,1100,N232G
IAD,TEB,12/28/23,320,N232G
TOA,IAD,12/28/23,1800,N232G
TEB,VNY,1/3/24,1900,N232G
VNY,TEB,1/8/24,1900,N232G
TEB,VNY,1/11/24,2100,N232G
VNY,LAS,1/12/24,320,N232G
LAS,VNY,1/15/24,320,N232G
BFI,CLD,1/16/24,1100,N232G
VNY,ITO,1/16/24,1900,N232G
KOA,SZN,1/23/24,1800,N232G
CNY,OSU,1/25/24,2100,N232G
OPF,SXM,1/28/24,960,N232G
SXM,FUL,2/3/24,2600,N232G
LAS,VNY,2/13/24,410,N232G
VNY,CNY,2/22/24,580,N232G
LAS,VNY,2/23/24,400,N232G
VNY,SHD,2/24/24,1600,N232G
ASE,VNY,2/29/24,540,N232G
SHD,ASE,2/29/24,1200,N232G
VNY,NRC,3/4/24,430,N232G
NRC,PRB,3/6/24,490,N232G
PRB,BFD,3/18/24,1600,N232G
BFD,BOS,3/21/24,470,N232G
TVL,ESP,3/25/24,1700,N232G
PMD,OAR,4/20/24,440,N232G
OAR,VNY,4/22/24,550,N232G
HVE,BOS,4/29/24,1600,N232G
VNY,HVE,4/29/24,390,N232G
BOS,TEB,5/1/24,420,N232G
TEB,BOS,5/2/24,430,N232G
SBA,CLD,5/3/24,450,N232G
TEB,IAD,5/7/24,350,N232G
IAD,TEB,5/9/24,450,N232G
TEB,VNY,5/9/24,2000,N232G
VNY,TEB,5/14/24,1800,N232G
TEB,VNY,5/15/24,2000,N232G
VNY,IAD,5/22/24,1700,N232G
MMU,BNA,5/29/23,740,N236MJ
BNA,MDW,6/2/23,270,N236MJ
MDW,BNA,6/5/23,280,N236MJ
BNA,PIT,6/17/23,330,N236MJ
PIT,BNA,6/18/23,380,N236MJ
BNA,MSP,6/23/23,490,N236MJ
MSP,BNA,6/25/23,450,N236MJ
BNA,LUK,6/30/23,410,N236MJ
LUK,BNA,7/2/23,380,N236MJ
BNA,MKC,7/7/23,330,N236MJ
MKC,BNA,7/9/23,340,N236MJ
BNA,APA,7/14/23,580,N236MJ
APA,BNA,7/16/23,660,N236MJ
BNA,PAE,7/22/23,970,N236MJ
PAE,BNA,7/24/23,1100,N236MJ
BNA,SJC,7/28/23,1000,N236MJ
SJC,BNA,7/30/23,1300,N236MJ
BNA,BUR,8/2/23,1000,N236MJ
BNA,BUR,8/16/23,880,N236MJ
BNA,BUR,8/24/23,870,N236MJ
YYZ,TEB,5/30/23,580,N313AR
TIV,TIV,6/1/23,580,N313AR
TSF,QLT,6/16/23,480,N313AR
GVA,ZRH,6/21/23,280,N313AR
MXP,QLT,6/22/23,1000,N313AR
DTW,BTL,6/26/23,620,N313AR
LTN,SNN,6/26/23,640,N313AR
SNN,SNN,6/27/23,3200,N313AR
BTL,DTW,7/2/23,450,N313AR
DTW,MSP,7/2/23,720,N313AR
MSP,LAS,7/7/23,1600,N313AR
LAS,SEA,7/9/23,930,N313AR
SEA,LAS,7/11/23,790,N313AR
LAS,TEB,7/15/23,2200,N313AR
TEB,OPF,7/19/23,1100,N313AR
OPF,SCH,7/22/23,1100,N313AR
SCH,TEB,7/22/23,560,N313AR
TEB,LAS,7/23/23,1800,N313AR
LAS,MSP,7/24/23,1300,N313AR
MSP,DTW,7/29/23,540,N313AR
BWI,DTW,7/31/23,780,N313AR
DTW,OPF,7/31/23,1200,N313AR
OPF,MSP,8/9/23,1600,N313AR
MSP,OPF,8/11/23,1600,N313AR
OPF,TEB,8/17/23,1200,N313AR
TEB,SFF,8/19/23,2400,N313AR
SFF,DTW,8/25/23,1900,N313AR
DTW,OPF,8/27/23,990,N313AR
OPF,IAD,8/30/23,730,N313AR
OPF,TEB,9/11/23,1000,N313AR
TEB,DTW,9/15/23,910,N313AR
DTW,FCM,9/17/23,840,N313AR
FCM,GJT,9/22/23,810,N313AR
GJT,OPF,9/25/23,1900,N313AR
OPF,ACY,9/30/23,920,N313AR
ACY,MSP,10/1/23,1200,N313AR
MSP,VNY,10/5/23,1500,N313AR
VNY,HOU,10/14/23,1400,N313AR
HOU,DAL,10/17/23,390,N313AR
DAL,HOU,10/22/23,320,N313AR
HOU,OPF,10/24/23,1000,N313AR
TEB,OPF,10/24/23,980,N313AR
OPF,DAL,10/26/23,1100,N313AR
DAL,PHX,10/29/23,450,N313AR
PHX,OPF,11/3/23,2100,N313AR
HND,SIN,11/6/23,2100,N313AR
MSP,TEB,11/9/23,1100,N313AR
DTW,MDW,11/14/23,630,N313AR
MDW,JZI,11/14/23,820,N313AR
SWF,IAD,11/14/23,680,N313AR
JZI,OPF,11/16/23,790,N313AR
OPF,DTW,11/19/23,1100,N313AR
DTW,MSP,11/22/23,750,N313AR
MSP,OPF,11/26/23,1400,N313AR
OPF,HPN,12/2/23,1300,N313AR
HPN,OPF,12/3/23,1200,N313AR
OPF,MGE,12/5/23,590,N313AR
MGE,MSP,12/6/23,860,N313AR
MGE,TEB,12/12/23,800,N313AR
MSP,MGE,12/12/23,870,N313AR
TEB,OPF,12/18/23,1100,N313AR
OPF,MSP,12/21/23,1500,N313AR
MSP,OPF,12/22/23,1600,N313AR
OKC,DFW,12/26/23,690,N313AR
OPF,OKC,12/26/23,1200,N313AR
DFW,MSP,12/27/23,830,N313AR
MSP,LRM,12/31/23,2200,N313AR
LRM,POP,1/5/24,1000,N313AR
OPF,MCO,1/9/24,280,N313AR
MCO,BOS,1/10/24,1200,N313AR
BOS,MSP,1/11/24,1100,N313AR
MSP,DTW,1/15/24,790,N313AR
DTW,MSP,1/18/24,890,N313AR
MSP,PVU,1/24/24,1300,N313AR
PVU,SJC,1/24/24,780,N313AR
SJC,VNY,1/27/24,450,N313AR
VNY,FST,1/27/24,910,N313AR
OPF,SXM,1/28/24,960,N313AR
SJC,IAD,1/31/24,2300,N313AR
VNY,PHX,2/8/24,490,N313AR
BFL,VNY,2/14/24,720,N313AR
VNY,ESE,2/14/24,540,N313AR
VNY,LVS,2/14/24,680,N313AR
VNY,OPF,2/19/24,2200,N313AR
OPF,MSP,2/23/24,1500,N313AR
CIG,SCK,2/25/24,730,N313AR
MSP,CKK,2/25/24,590,N313AR
CYL,TNT,3/1/24,770,N313AR
SRQ,EDW,3/8/24,2200,N313AR
TNT,SRQ,3/8/24,1000,N313AR
EDW,SNS,3/12/24,540,N313AR
BFD,FFL,3/13/24,920,N313AR
SZP,SLC,3/16/24,550,N313AR
SLC,SBS,3/18/24,400,N313AR
SBS,DPG,3/19/24,420,N313AR
SWF,MMH,3/21/24,1800,N313AR
ULM,EYE,3/25/24,600,N313AR
EYE,CRG,3/26/24,1000,N313AR
CRG,SAV,3/30/24,700,N313AR
SAV,INT,4/2/24,440,N313AR
INT,HHH,4/4/24,340,N313AR
OPF,PHX,4/27/24,3400,N313AR
PHX,MSP,4/29/24,1300,N313AR
MSP,APA,5/3/24,810,N313AR
APA,VNY,5/5/24,860,N313AR
VNY,APA,5/6/24,1000,N313AR
APA,VNY,5/7/24,1000,N313AR
HOU,MSP,5/9/24,1100,N313AR
VNY,HOU,5/9/24,1200,N313AR
MSP,TEB,5/13/24,980,N313AR
APA,MSP,5/15/24,730,N313AR
MSP,OPF,5/17/24,1500,N313AR
OPF,APA,5/19/24,1600,N313AR
APA,OPF,5/20/24,1500,N313AR
OPF,MSY,5/21/24,700,N313AR
STP,FLL,5/22/24,1800,N313AR
FRG,FXE,7/4/23,680,N350XX
FXE,TEB,7/30/23,860,N350XX
TEB,FXE,7/30/23,780,N350XX
FXE,TEB,8/6/23,870,N350XX
TEB,KIR,8/7/23,2000,N350XX
APA,LAS,8/11/23,680,N350XX
KIR,SNN,8/11/23,1900,N350XX
LAS,FXE,8/13/23,1500,N350XX
FXE,PHL,8/25/23,720,N350XX
PHL,FXE,8/27/23,620,N350XX
LAX,DAL,9/4/23,1300,N350XX
ELD,FXE,9/5/23,730,N350XX
NTD,ELD,9/5/23,1200,N350XX
FXE,LAS,9/12/23,1500,N350XX
LAS,FXE,9/13/23,1500,N350XX
FXE,NCO,9/17/23,750,N350XX
NCO,FXE,9/17/23,790,N350XX
FXE,HPN,9/20/23,780,N350XX
HPN,FXE,9/21/23,880,N350XX
BED,MDW,9/22/23,960,N350XX
FXE,BED,9/22/23,990,N350XX
MDW,FXE,9/24/23,830,N350XX
AVL,CHA,9/29/23,170,N350XX
FXE,AVL,9/29/23,520,N350XX
CHA,CHS,9/30/23,210,N350XX
CHS,FXE,10/1/23,360,N350XX
FXE,TRI,10/6/23,550,N350XX
TRI,FXE,10/8/23,560,N350XX
FXE,PHL,10/9/23,750,N350XX
PHL,FXE,10/11/23,820,N350XX
FXE,APA,10/12/23,1200,N350XX
TEB,TRI,10/13/23,460,N350XX
TRI,FXE,10/13/23,520,N350XX
FXE,TEB,10/19/23,750,N350XX
TEB,PBI,10/19/23,720,N350XX
BNA,FXE,10/20/23,580,N350XX
PBI,BNA,10/20/23,490,N350XX
FXE,TPA,10/22/23,200,N350XX
TPA,APC,10/22/23,1400,N350XX
APC,FXE,10/23/23,1700,N350XX
FRG,FXE,10/24/23,790,N350XX
BHM,MGE,11/1/23,350,N350XX
FXE,BHM,11/2/23,450,N350XX
MGE,BHM,11/2/23,210,N350XX
BHM,SCF,11/3/23,1100,N350XX
BHM,FXE,11/5/23,490,N350XX
SCF,BHM,11/5/23,1100,N350XX
TRM,FXE,11/7/23,1800,N350XX
VNY,TUS,11/15/23,580,N350XX
FXE,HPN,11/19/23,720,N350XX
HPN,SJC,11/20/23,1800,N350XX
BUR,LAS,11/22/23,300,N350XX
FXE,RDU,11/25/23,530,N350XX
RDU,MDW,11/26/23,510,N350XX
BVY,FXE,11/27/23,800,N350XX
MDW,BVY,11/27/23,560,N350XX
FXE,SWF,12/7/23,820,N350XX
SWF,FXE,12/10/23,840,N350XX
FXE,NAS,12/15/23,190,N350XX
NAS,WTD,12/16/23,830,N350XX
HPN,FXE,12/17/23,870,N350XX
APC,VNY,12/22/23,330,N350XX
FXE,APC,12/22/23,1800,N350XX
FXE,VNY,12/22/23,1500,N350XX
VNY,FXE,12/23/23,1700,N350XX
FXE,UST,12/30/23,330,N350XX
UST,FXE,12/30/23,450,N350XX
AZA,SLE,1/2/24,870,N350XX
SFO,FXE,1/3/24,2000,N350XX
FXE,PNE,1/10/24,780,N350XX
PNE,FXE,1/10/24,770,N350XX
FXE,LAX,1/16/24,1600,N350XX
LAX,TEB,1/17/24,1600,N350XX
TEB,LAS,2/1/24,1500,N350XX
FXE,UST,2/5/24,360,N350XX
MYR,LDJ,2/5/24,620,N350XX
VNY,PHX,2/8/24,490,N350XX
CTH,EDE,2/15/24,360,N350XX
FSM,MNI,2/15/24,1700,N350XX
MNI,MNI,2/15/24,640,N350XX
CDW,COD,2/16/24,1200,N350XX
COD,BCT,2/17/24,1800,N350XX
BVO,ISQ,3/9/24,620,N350XX
ISQ,YUL,3/10/24,500,N350XX
YUL,YYZ,3/10/24,500,N350XX
YYJ,YYZ,3/15/24,830,N350XX
HDN,FIL,3/17/24,410,N350XX
PUB,HDN,3/17/24,420,N350XX
FIL,LIT,3/19/24,750,N350XX
LIT,PHK,3/25/24,560,N350XX
PHK,FXE,3/25/24,250,N350XX
BLD,CNY,4/1/24,400,N350XX
JCT,BNA,4/1/24,590,N350XX
SBY,MGY,4/2/24,8600,N350XX
CYO,PBI,4/7/24,330,N350XX
PBI,PIR,4/7/24,1200,N350XX
PIR,CHA,4/7/24,680,N350XX
CHA,MMI,5/4/24,280,N350XX
BNA,COE,5/5/24,1000,N350XX
MMI,BNA,5/5/24,350,N350XX
COE,FXE,5/6/24,1700,N350XX
BCT,FNL,5/9/24,1100,N350XX
POP,POP,5/9/24,880,N350XX
FNL,MYR,5/10/24,930,N350XX
MYR,TRI,5/10/24,360,N350XX
TRI,FXE,5/11/24,440,N350XX
FXE,APF,5/16/24,470,N350XX
APF,HPN,5/17/24,790,N350XX
HPN,PBI,5/19/24,760,N350XX
PBI,TPA,5/23/24,290,N350XX
TPA,PVU,5/23/24,1400,N350XX
PVU,SJC,5/24/24,480,N350XX
SJC,PHL,5/24/24,2000,N350XX
PHL,FLL,5/25/24,890,N350XX
NCE,AMS,6/30/23,680,N444SC
SLC,AMS,7/1/23,3200,N444SC
AMS,BLM,7/9/23,2500,N444SC
DBV,DBV,7/31/23,3600,N444SC
NAP,QLT,7/31/23,2900,N444SC
YOW,YYZ,9/19/23,370,N444SC
TEB,SAV,9/24/23,600,N444SC
CHS,FRG,9/25/23,700,N444SC
SAV,CHS,9/25/23,200,N444SC
FRG,BOS,10/2/23,430,N444SC
BOS,TEB,10/3/23,220,N444SC
BOS,TEB,10/4/23,200,N444SC
TEB,BOS,10/4/23,240,N444SC
TEB,AMS,10/9/23,2700,N444SC
AMS,STN,10/10/23,250,N444SC
STN,TEB,10/13/23,2600,N444SC
TEB,NHZ,10/19/23,420,N444SC
NHZ,FRG,10/20/23,410,N444SC
HPN,AMS,11/4/23,2500,N444SC
FRG,NUE,1/8/24,2800,N444SC
NUE,AMS,1/10/24,470,N444SC
AMS,TEB,1/12/24,2600,N444SC
TEB,HPN,3/17/24,350,N444SC
MFR,EUG,3/25/24,1100,N444SC
TEB,SJU,3/25/24,1500,N444SC
CDW,SNY,3/26/24,1100,N444SC
TEB,CDW,3/26/24,290,N444SC
SNY,FRI,3/28/24,390,N444SC
FRI,LAR,4/7/24,630,N444SC
LAR,VNY,4/7/24,620,N444SC
VNY,LGB,4/10/24,300,N444SC
BNA,CLT,4/12/24,410,N444SC
LGB,BNA,4/12/24,1200,N444SC
CNO,TEB,4/18/24,1800,N444SC
TEB,COT,4/21/24,1400,N444SC
CLT,PSX,4/29/24,740,N444SC
TEB,VGT,4/29/24,1700,N444SC
VGT,CLT,4/29/24,1300,N444SC
EWR,OPF,5/4/24,860,N444SC
OPF,EWR,5/6/24,850,N444SC
EWR,ROG,5/13/24,840,N444SC
ROG,TEB,5/15/24,810,N444SC
TEB,YOW,5/16/24,290,N444SC
YOW,YYZ,5/16/24,480,N444SC
TEB,FRG,5/19/24,310,N444SC
FRG,CGN,5/21/24,3200,N444SC
BLY,SNN,5/27/24,2200,N444SC
CGN,FOK,5/27/24,2800,N444SC
SUX,STN,6/20/23,4600,N444WT
JMK,SMI,6/27/23,1800,N444WT
STN,JMK,6/27/23,1600,N444WT
EWR,OBF,6/30/23,3700,N444WT
ARN,ARN,7/2/23,1200,N444WT
TPA,LCC,7/5/23,4900,N444WT
BUR,OBF,7/28/23,6500,N444WT
FXE,OBF,7/30/23,4800,N444WT
TPS,QLT,7/30/23,800,N444WT
VNY,OOL,7/31/23,6700,N444WT
OOL,NAN,8/16/23,1800,N444WT
NAN,NAN,8/22/23,5500,N444WT
VNY,SAN,8/31/23,620,N444WT
SAN,TVL,9/1/23,650,N444WT
BUR,TVL,9/3/23,450,N444WT
TVL,MMV,9/5/23,900,N444WT
MMV,VNY,9/29/23,910,N444WT
VNY,LAS,9/29/23,710,N444WT
LAS,HIO,10/1/23,800,N444WT
HIO,VNY,10/15/23,820,N444WT
VNY,PSP,10/17/23,420,N444WT
PSP,VNY,10/22/23,310,N444WT
VNY,HIO,10/22/23,670,N444WT
HIO,VNY,11/13/23,880,N444WT
VNY,TUS,11/15/23,580,N444WT
TUS,HIO,11/22/23,1100,N444WT
HIO,VNY,12/1/23,770,N444WT
VNY,SAN,12/2/23,410,N444WT
SAN,VNY,12/3/23,330,N444WT
VNY,LCY,12/6/23,6100,N444WT
LCY,TEB,12/9/23,3600,N444WT
TEB,HIO,12/11/23,2900,N444WT
HIO,PSP,12/28/23,910,N444WT
PSP,VNY,12/29/23,280,N444WT
VNY,SKB,12/30/23,3900,N444WT
SKB,SKB,1/2/24,4000,N444WT
HIO,VNY,2/5/24,1100,N444WT
VNY,SLT,2/13/24,750,N444WT
CDS,VNY,2/17/24,1100,N444WT
SLT,CDS,2/17/24,550,N444WT
VNY,HIO,2/18/24,990,N444WT
VNY,OFK,2/28/24,1700,N444WT
OFK,VRB,2/29/24,1400,N444WT
MRB,RNT,3/1/24,2400,N444WT
CMA,HIO,3/8/24,780,N444WT
UKI,VKS,3/8/24,1900,N444WT
EDW,SNS,3/12/24,540,N444WT
KIC,IRS,3/13/24,1700,N444WT
VNY,BFD,3/13/24,2200,N444WT
PBI,NAS,3/18/24,250,N444WT
TRL,PHK,3/18/24,700,N444WT
CVO,HIO,3/25/24,910,N444WT
BKL,DNS,4/7/24,810,N444WT
VNY,YKN,4/7/24,1300,N444WT
YKN,BKL,4/7/24,800,N444WT
DNS,VNY,4/8/24,1400,N444WT
ATH,SMI,4/14/24,420,N444WT
ATH,SMI,4/19/24,1300,N444WT
SKG,SMI,4/19/24,520,N444WT
VNY,HIO,4/22/24,1000,N444WT
HIO,LAX,5/17/24,1200,N444WT
LAX,TRM,5/17/24,990,N444WT
LAX,HIO,5/19/24,920,N444WT
TRM,LAX,5/19/24,5100,N444WT
HIO,LAX,5/26/24,880,N444WT
LAX,KID,5/28/24,5600,N444WT
YHM,YYZ,6/3/23,4000,N474D
YYZ,YMX,6/3/23,6100,N474D
YMX,YYZ,6/4/23,5600,N474D
YYZ,YHM,6/4/23,3700,N474D
YHM,YYZ,6/15/23,3700,N474D
YYZ,IAH,6/16/23,12900,N474D
MEM,GYY,7/1/23,4400,N474D
GYY,YHM,7/7/23,4200,N474D
YHM,YYZ,7/9/23,5700,N474D
DTW,BED,7/10/23,6500,N474D
BED,YMX,7/14/23,5800,N474D
JFK,YHM,7/17/23,6300,N474D
YMX,YYZ,7/17/23,4500,N474D
